subject,name
ACCT,Accounting
ADSC,Administrative Sciences
AFAM,African American Studies
AFAS,African & African-Amer Studies
AFKN,Afrikaans
AFST,African Studies
AKKD,Akkadian
AMST,American Studies
AMTH,Applied Mathematics
ANES,Anesthesiology
ANTH,Anthropology
APHY,Applied Physics
ARBC,Arabic
ARCG,Archaeological Studies
ARCH,Architecture
ARMN,Armenian
ART,Art
ASL,American Sign Language
ASTR,Astronomy
B&BS,Biological & Biomedical Sci
BENG,Biomedical Engineering
BIOL,Biology
BIS,Biostatistics
BME,Biomedical Engineering
BNGL,Bengali
BRST,British Studies
BURM,Burmese
C&MP,Cell & Molecular Physiology
CAND,Prep for Adv to Candidacy
CB&B,Comp Biol & Bioinfomatics
CBIO,Cell Biology
CDE,Chronic Disease Epidemiology
CENG,Chemical Engineering
CGSC,Cognitive Science
CHEM,Chemistry
CHLD,Child Study
CHNS,Chinese
CLCV,Classical Civilization
CLSS,Classics
CPAR,Computing and the Arts
CPLT,Comparative Literature
CPMD,Comparative Medicine
CPSC,Computer Science
CPTC,Coptic
CSBF,Coll Sem:Ben Franklin Coll
CSBK,Coll Sem:Berkeley Coll
CSBR,Coll Sem:Branford Coll
CSCC,Coll Sem:Calhoun Coll
CSDC,Coll Sem:Davenport Coll
CSEC,Computer Science and Economics
CSES,Coll Sem:Ezra Stiles Coll
CSGH,Coll Sem:Grace Hopper Coll
CSJE,Coll Sem:Jonathan Edwards Coll
CSMC,Coll Sem:Morse Coll
CSMY,Coll Sem:Pauli Murray Coll
CSPC,Coll Sem:Pierson Coll
CSSM,Coll Sem:Silliman Coll
CSSY,Coll Sem:Saybrook Coll
CSTC,Coll Sem:Trumbull Coll
CSTD,Coll Sem:Timothy Dwight Coll
CSYC,Coll Sem: Yale Coll
CTLN,Catalan
CZEC,Czech
DERM,Dermatology
DEVN,The DeVane Lecture Course
DIAG,Diagnostic Radiology
DIR,DIrecting
DISA,Diss Research
DISR,Diss Research
DRAM,Drama
DRST,Directed Studies
DUTC,Dutch
E&EB,Ecology & Evolutionary Biology
E&RS,European & Russian Studies
EALL,East Asian Lang and Lit
EAST,East Asian Studies
ECON,Economics
EDST,Education Studies
EECS,Elec Eng & Comp Sci
EENG,Electrical Engineering
EGYP,Egyptology
EHS,Environmental Health Sciences
EID,Epidemiology Infectious Diseas
ELP,English Language Program
EMD,Epidemiology Microbial Disease
ENAS,Engineering & Applied Science
ENGL,English
ENHS,Environmental Health Sciences
ENRG,Energy Studies
ENV,Environment
ENVE,Environmental Engineering
EP&E,"Ethics, Politics, & Economics"
EPH,Epidemiology & Public Health
EPS,Earth and Planetary Sciences
ER&M,"Ethnicity, Race, & Migration"
EVST,Environmental Studies
EXPA,Experimental Pathology
F&ES,Forestry & Environment Studies
FILM,Film & Media Studies
FNSH,Finnish
FREN,French
G&G,Geology and Geophysics
GENE,Genetics
GHD,Global Health
GLBL,Global Affairs
GMAN,German
GMIC,Germanic
GMST,German Studies
GRAN,Gross Anatomy
GREK,Ancient Greek
GSAS,Graduate School
HAUS,Hausa
HEBR,Modern Hebrew
HGRN,Hungarian
HIST,History
HLTH,Health Studies
HM&S,History of Medicine & Science
HMRT,Human Rights
HNDI,Hindi
HPA,Health Policy Administration
HPM,Health Policy and Management
HPR,Health Policy Resources & Adm
HSAR,History of Art
HSHM,"Hist of Science, Hist of Med"
HSMD,History of Medicine
HSPL,History & Politics
HUMS,Humanities
IBIO,Immunobiology
IHD,International Health
IMED,Investigative Medicine
IND,IndoEuropean
INDC,Indic
INDN,Indonesian
INMD,Internal Medicine
INP,Interdpt Neuroscience Pgm
INRL,International Relations
INTL,International
INTS,International Studies
IRAN,Iranian
IRES,Independent Research
ITAL,Italian
JAPN,Japanese
JDST,Judaic Studies
KHMR,Khmer
KREN,Korean
LAST,Latin American Studies
LATN,Latin
LAW,Law
LBMD,Laboratory Medicine
LING,Linguistics
LITR,Literature
LUCE,The Henry Luce Course
MATH,Mathematics
MB&B,Molecular Biophysics & Biochem
MBIO,Microbiology
MCDB,"Molecular, Cellular & Dev Biol"
MDVL,Medieval Studies
MED,Master of Environmental Design
MEDC,Courses in School of Medicine
MEDR,Clinical Clerkships
MENG,Mechanical Engineering
MESO,Mesopotamia
MGMT,Management
MGRK,Modern Greek
MGT,School of Management
MIC,Microbiology
MMES,Modern Middle East Studies
MRES,Master's Thesis Research
MTBT,Modern Tibetan
MUS,School of Music
MUSI,Music Department
NAVY,Naval Science
NBIO,Neurobiology
NELC,Near Eastern Langs & Civs
NHTL,Nahuatl
NRLG,Neurology
NSCI,Neuroscience
NURS,Nursing
OBGN,Obstetrics/Gynecology
OBIO,Organismal Biology
OLPA,Online Physician Assistant Pgm
OPRH,Orthopaedics & Rehabilitation
OPRS,Operations Research
OPVS,Ophthalmology & Visual Science
ORMS,Operations Res/Mgmt Science
OTTM,Ottoman
PA,Physician Associate Program
PATH,Pathology
PEDT,Pediatrics
PERS,Persian
PHAR,Pharmacology
PHIL,Philosophy
PHUM,Public Humanities
PHYS,Physics
PIH,Program International Health
PLSC,Political Science
PLSH,Polish
PNJB,Punjabi
PORT,Portuguese
PPM,Public & Private Management
PRAC,Practicum Analysis
PSYC,Psychology
PSYT,Psychiatry
QUAL,Preparing for Qualifying Exams
QUAN,Quantitative Reasoning
REL,Religion
RLST,Religious Studies
RNST,Renaissance Studies
ROMN,Romanian
RSEE,Russian & East Europe Studies
RUSS,Russian
S&DS,Statistics and Data Science
SAST,South Asian Studies
SBCR,Serbian & Croatian
SBS,Social and Behavioral Sciences
SCAN,Scandinavian
SCIE,Science
SKRT,Sanskrit
SLAV,Slavic
SMTC,Semitic
SNHL,Sinhala
SOCY,Sociology
SPAN,Spanish
SPEC,Special Divisional Major
SPTC,Special Term Course
STAT,Statistics
STCY,Study of the City
STEV,Studies in the Environment
STRT,Start Program
SURG,Surgery
SWAH,Kiswahili
TAML,Tamil
TBTN,Tibetan
THST,Theater Studies
TKSH,Turkish
TPRP,Teacher Preparation
TRAD,Therapeutic Radiology
TWI,Twi
UKRN,Ukrainian
URBN,Urban Studies
URDU,Heritage Urdu
USAF,Aerospace Studies
VAIR,Visiting Assistant in Research
VIET,Vietnamese
WGSS,Women'sGender&SexualityStudies
WGST,Women's & Gender Studies
WHIT,Whitney Seminar
WLOF,Wolof
WMST,Women's Studies
YORU,Yoruba
YPKU,PKU: Direct Enrollment
YSM,Yale School of Medicine
ZULU,Zulu
